,position_name,employer_name,area,experience,schedule,employment,professional_roles,salary,description,key_skills
392,Менеджер проектов в Data Office,VK,Москва,От 3 до 6 лет,Полный день,Полная занятость,Руководитель проектов,null,"<p>Data Office VK — большая команда DS-специалистов и аналитиков, которая внедряет BI-системы, обеспечивает аналитику группы, централизует ключевые аудиторные показатели и строит платформу A/B-тестирования.</p> <p>Мы создаём большой data lake, собирающий данные всех продуктов внутри VK. Основная цель аналитиков и инженеров Data Office — собрать DWH с необходимым набором core-дата-сетов, которые будут решать любые задачи кросс-продуктового взаимодействия.</p> <strong>Задачи:</strong> <ul> <li>определение целей, потребностей, требований вместе с сотрудниками команд дата-офиса;</li> <li>построение процессов поставки от момента первого формулирования требований, заинтересованности бизнеса;</li> <li>управление планированием, принятием и исполнением обязательств командами, адаптация планов в процессе исполнения;</li> <li>проактивное участие в решении проблем, возникающих в процессах разработки, поставки, взаимодействия с бизнес-юнитами или командами дата-офиса;</li> <li>управление рисками и ожиданиями контрагентов;</li> <li>формирование и отслеживание критериев и метрик, отражающих качество и стабильность поставки;</li> <li>работа над улучшениями на основе количественных и качественных показателей;</li> <li>обеспечение эффективной коммуникации, способствующей стабильной поставке и своевременному решению возникающих проблем;</li> <li>поддержка актуальности роадмапа и бэклога направления.</li> </ul> <strong>Требования:</strong> <ul> <li>широкий кругозор по прикладным инструментам/подходам Agile, Scrum, Kanban, SAFe, Lean и тому подобное;</li> <li>понимание слабых и сильных сторон, умение адаптировать их под конкретный контекст;</li> <li>понимание основных процессов работы DWH, СУБД, теории данных;</li> <li>опыт работы с несколькими распределёнными командами одновременно;</li> <li>высокие коммуникативные навыки и умение их применять для системного и быстрого решения проблем между контрагентами в проектах;</li> <li>способность подстраиваться под изменения, гибко менять роль и подход в зависимости от ситуации;</li> <li>умение собирать и анализировать требования, проводить качественные и количественные исследования;</li> <li>умение собирать и анализировать данные, вырабатывать решения на их основе;</li> <li>высокий уровень самостоятельности и проактивности;</li> <li>способность достигать поставленных целей и результатов;</li> <li>опыт работы разработчиком, системным аналитиком, ML-инженером, тестировщиком, enterprise или solution архитектором — большое преимущество.</li> </ul>",[]
393,Аналитик данных (Data Analyst) / Продуктовый аналитик (Product Analyst) / BI-аналитик,Тендерплан,Москва,От 1 года до 3 лет,Полный день,Полная занятость,Продуктовый аналитик,null,"<p><strong>Тендерплан </strong>- это продуктовая IT-компания, создавшая систему для работы с государственными и коммерческими закупками, которая помогает предприятиям максимизировать свою эффективность.</p> <p>Мы стремимся к глубокому пониманию рынка и создаем не просто еще одну технологическую платформу, а улучшаем процесс закупок в целом.</p> <p>Каждая инновация, которую интегрируется в Тендерплан, должна приносить реальную пользу нашим клиентам — помогать им работать быстрее, эффективнее и с большим удовольствием.<br /><br /><strong>Вы — мастер анализа данных, способный превратить набор цифр в стратегии, которые преображают бизнес?</strong> Тогда мы ищем тебя!<br /><br /><strong>Какие задачи у дата-аналитика:</strong></p> <ul> <li>интеграция инструментов визуализации (DataLens) с базами данных компании;</li> <li>разработка и отслеживание продуктовых, маркетинговых и бизнес-метрик;</li> <li>проверка, анализ и интерпретация данных;</li> <li>создание аналитических отчетов, построение и поддержка дашбордов;</li> <li>формулирование гипотез, анализ продуктовых и маркетинговых AB-тестов;</li> <li>обеспечение потребностей стейкхолдеров в данных.</li> </ul> <p><strong>Мы ожидаем увидеть:</strong></p> <ul> <li>уверенное владение SQL, Excel/Google Sheets;</li> <li>знание Python, наличие опыта с библиотеками Matplotlib и Pandas;</li> <li>опыт работы с СУБД, владение BI-инструментами;</li> <li>опыт работы с Яндекс.Метрика / Google Analytics;</li> <li>опыт проектирования дерева метрик.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>работу в аккредитованной IT-компании;</li> <li>один из самых уникальных офисов Ульяновска;</li> <li>демократичное руководство, дружный коллектив, теплую атмосферу;</li> <li>свободу в выборе способов и инструментов для реализации задач;</li> <li>возможность саморазвития и карьерного роста, участие в профильных мероприятиях;</li> <li>корпоративные виды спорта – футбол, киберспорт, парусный спорт (яхтинг);</li> <li>работа из офиса/в гибридном графике/удаленном формате с гибким началом рабочего дня;</li> <li>бесплатные обеды в офисе;</li> <li>оформление по ТК РФ, социальный пакет.</li> </ul> <ul> </ul>",[]
394,Data-инженер,МегаФон,Хабаровск,От 1 года до 3 лет,Полный день,Полная занятость,Инженер по качеству,null,"<p>​​​​​​​<strong>Чем предстоит заниматься</strong></p> <ul> <li>Обрабатывать заявки пользователей отчетности на базе КХД (Корпоративное хранилище данных)</li> <li>Осуществлять поиск аномалий и ошибок в данных КХД</li> <li>Определять новые методики для повышения качества данных КХД</li> <li>Разрабатывать и внедрять инструменты для повышения качества данных КХД. Разрабатывать Дашборд качества КХД (Python+Django)</li> <li>Верифицировать данные КХД с данными систем-источников</li> <li>Взаимодействовать с другими подразделениями Компании с целью повышения качества данных</li> </ul> <p><strong>Что для этого нужно</strong></p> <ul> <li>Высшее образование в области ITОпыт работы в области ИТ от 3 лет</li> <li>Хорошие математические знания</li> <li>Знание Oracle, SQL, PL/SQL. Знание PostgreSQL/Greenplum, Clickhouse приветствуется</li> <li>Знание SAP Business Objects</li> <li>Желательно, знание Oracle Business Intelligence</li> <li>Желательно, знание языков программирования (С++, С#, Java). Знание Python приветствуется</li> </ul> <p> </p> <p>Личностные качества:</p> <ul> <li>Аналитический склад ума</li> <li>Внимательность к деталям</li> <li>Ответственность, целеустремленность, ориентация на результат</li> <li>Стрессоустойчивость</li> </ul>",[]
395,Аналитик данных / дата аналитик / data analyst (ипотека),ПСБ (ПАО «Промсвязьбанк»),Москва,От 1 года до 3 лет,Полный день,Полная занятость,"BI-аналитик, аналитик данных",null,"<strong>Ключевые задачи:</strong> <ul> <li>Участие в управление рисками по портфелю ипотечных кредитов</li> <li>Анализ качества кредитного портфеля (винтажи, ролл-рейты, резервы) и качества работы стратегии (воронка одобрения, причины отказов)</li> <li>Разработка риск-политик розничного кредитования</li> <li>Постановки бизнес-требований на доработку ИТ-систем, тестирование и контроль корректности на бою</li> <li>Подготовка аналитических заключений</li> <li>Ad-hoc аналитика по запросу</li> <li>Управление RWA</li> </ul> <strong>Что важно для нас:</strong> <ul> <li>Образование: высшее экономическое/математическое/техническое</li> <li>Стаж работы в банковской системе/ИТ/Страховых: от1 года</li> <li>Опыт работы по направлению управления розничными рисками, ипотечным кредитованием приветствуется</li> <li>Обязательно - владение SQL и Excel на уровне опытного пользователя</li> </ul> <strong>Что предлагаем:</strong> <ul> <li>График работы: пн-пт 09:00-18:00</li> <li>Официальное оформление в соответствии с ТК РФ</li> <li>Конкурентный уровень дохода: оклад + премии</li> <li>Медицинская страховка, страховка для выезжающих за границу</li> <li>Доплата к отпускному и больничному листу</li> <li>Дополнительные льготы при заключении брака и рождении детей</li> <li>Социальная поддержка при сложных жизненных ситуациях</li> <li>Льготное кредитование для сотрудников</li> <li>Обучение в корпоративном университете банка</li> <li>Корпоративная библиотека</li> </ul>","['SQL', 'Data Analysis', 'Анализ данных', 'Аналитическое мышление', 'Аналитика', 'Сбор и анализ информации', 'MS SQL']"
396,Junior Data Engineer,АФЛТ-Системс,Москва,От 1 года до 3 лет,Полный день,Полная занятость,"BI-аналитик, аналитик данных",null,"<p><strong>АФЛТ-Системс</strong> – аккредитованная IT-компания в составе ГК &quot;Аэрофлот&quot;, которая создает сервисы для авикомпаний и пассажиров. Мы делаем качество обслуживания выше, а перелеты комфортнее и безопаснее.</p> <p>Сейчас мы ищем Junior Data Engineer в команду, которая занимается импортозамещением CRM-системы. Основная задача заключается в реализации хранилища данных, а также натройке интеграций с различными системами.</p> <p><strong>Текущий стек:</strong> Oracle, Informatica, Oracle BI</p> <p><strong>Предстоит переход на стек:</strong> Arenadata DB, Airflow, Arenadata QuickMarts, NiFi/DataLense</p> <ul> </ul> <ul> </ul> <p> </p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Разработка процедур сбора данных из различных источников (файлы, базы данных, очереди);</p> </li> <li> <p>Разработка процессов трансформации и загрузки данных в хранилище;</p> </li> <li> <p>Разработка процедур обновления витрин;</p> </li> <li> <p>Проработка интеграций с внешними системами.</p> </li> </ul> <p><strong>Что для нас важно:</strong></p> <ul> <li> <p>Опыт разработки хранилищ данных от 1 года;</p> </li> <li> <p>Практический опыт работы с реляционными СУБД в рамках промышленной эксплуатации;</p> </li> <li> <p>Навыки разработки и оптимизации SQL-запросов, PG\SQL (оконные функции, процедуры);</p> </li> <li> <p>Понимание общих принципов организации процесса разработки, тестирования.</p> </li> </ul> <p><strong>Желательно:</strong> </p> <ul> <li>Опыт работы с ETL-инструмнтами (предпочтительно NiFi, AirFlow).</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Аккредитованная IT-компания и оформление по ТК с первого рабочего дня;</li> <li>Гибридный формат работы;</li> <li>Специальные условия на покупку авиабилетов для вас, вашей семьи и родителей;</li> <li>ДМС с первого рабочего дня;</li> <li>Скидки от партнеров на приобретение товаров и услуг;</li> <li>Индивидуальный подход к профессиональному росту и развитию внутри компании;</li> <li>Участие в конференциях, помощь и поддержка в научных проектах.</li> </ul>","['SQL', 'ORACLE', 'Informatica', 'Oracle BI', 'ADQM', 'Apache Airflow', 'Apache NiFi', 'Atlassian Jira', 'Gitlab']"
397,Marketing Data Analyst,Топассистент,Кипр,От 1 года до 3 лет,Полный день,Полная занятость,"BI-аналитик, аналитик данных","{'from': 4000, 'to': 'null', 'currency': 'EUR', 'gross': False}","В крупную международную компанию, специализирующуюся на создании передовых решений в области iGaming, требуется опытный Marketing Data Analyst в офис в Лимассоле.<br /><br /><strong>Что от вас требуется:</strong><br />- опыт работы маркетинг-аналитиком или дата аналитиком в области маркетинга от 2-х лет;<br />- опыт работы в сфере iGaming/Gambling будет преимуществом;<br />- продвинутый уровень MS Excel;<br />- уверенное владение SQL;<br />- базовые знания Python;<br />- опыт работы с BI инструментами (Tableau или аналогами);<br />- отличное понимание маркетинговых метрик: ROMI, CAC, LTV и других.<br />- английский язык от B1 и выше.<br /><br /><strong>Что будет входить в круг ваших обязанностей:</strong><br />- исследование маркетинговых кампаний по клиентским сегментам, каналам привлечения;<br />- веб-активностям и другим метрикам;<br />- оценка эффективности SEO, медийной рекламы, соцсетей, сотрудничества с блогерами и партнерами;<br />- поиск точек роста через работу с когортным анализом, юнит-экономикой и конверсией;<br />- выявление возможностей улучшений в маркетинговых процессах, автоматизация процессов отчетности и дашбордов;<br />- работа с отчетностью и дашбордами в Tableau или аналогичных инструментах.<br /><br /><strong>Что вас ждёт:</strong><br />- работа в комфортном офисе на Кипре (г. Лимассол);<br />- команда профессионалов, увлеченных своим делом;<br />- медицинское страхование;<br />- своевременная индексация заработной платы;<br />- бесплатные завтраки и обеды в офисе;<br />- компенсация курсов английского языка в размере 50%;<br />- компенсация абонемента в спортзал.","['Python', 'SQL', 'MS Excel', 'Tableau', 'Бизнес-анализ', 'SEO оптимизация', 'Маркетинговый анализ', 'Английский язык', 'Исследовательский анализ данных', 'Организация работы сотрудников', 'Формирование аналитической отчетности', 'Маркетинговые метрики']"
398,QA инженер (Трайб Data Office),АО «ОТП Банк» (JSC «OTP Bank»),Москва,От 1 года до 3 лет,Гибкий график,Полная занятость,Тестировщик,null,"<p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Разработка и поддержка тестовых сценариев (кейсов);</li> <li>Автоматизация тестовых сценариев (кейсов) с использованием существующих фреймворков;</li> <li>Запуск автотестов и анализ результатов их выполнения (автотесты на Java);</li> <li>Поддержка существующих тестовых фреймворков и автотестов (Java, RestAssured, Cucumber);</li> <li>Создание, отслеживание и проверка дефектов продукта;</li> <li>Взаимодействие с командой разработки.</li> </ul> <p><strong>Что мы ждём:</strong></p> <ul> <li>Понимание процесса тестирования и жизненного цикла разработки ПО;</li> <li>Практический опыт как ручного тестирования, так и автоматизации;</li> <li>Базовые навыки работы с Linux системами;</li> <li>Базовые навыки работы с системами контроля версий (git);</li> <li>Базовые навыки работы с IDE.</li> </ul> <p><br /><strong>Будет плюсом:</strong></p> <ul> <li>Опыт работы с REST API;</li> <li>Опыт работы с JIRA;</li> <li>Опыт работы с Playwright/Selenium;</li> <li>SQL - базовый.</li> </ul>",[]
399,Data Governance Manager / Менеджер по управлению данными,АстраЗенека,Москва,От 3 до 6 лет,Полный день,Полная занятость,Дата-сайентист,null,"<p>Компания «АстраЗенека» верит в потенциал своих сотрудников и стремится развивать их скрытые таланты. Станьте частью команды, и мы поможем реализовать ваши навыки и стремления с помощью активной поддержки со стороны команды и всей компании в целом, вне зависимости от отдела и роли, с которой вы начинаете работу в нашей компании.</p> <p>В России наша компания объединяет более 1 000 талантливых сотрудников, и каждый из них разделяет нашу страсть к науке и ориентирован в первую очередь на потребности пациентов. Независимо от того, в каком подразделении Вы работаете, Вы можете рассчитывать на успешный карьерный рост в динамично развивающейся среде, которая стимулирует инновации и поощряет работу в команде.</p> <p>Сегодня компания АстраЗенека открывает вакансию <strong>Data</strong><strong> </strong><strong>Governance</strong><strong> </strong><strong>Manager</strong><strong> </strong><strong>/ Менеджер по управлению данными </strong>в подразделении Data &amp; Digital (D&amp;D).</p> <p>Эта роль предполагает создание единого центра экспертизы и организации технических процессов, правил и практик, как мы работаем с данными: собираем, организуем, храним и используем с большим фокусом на качество (валидация, очистка) и безопасность (security, compliance).</p> <p>У человека на этой позиции есть уникальная возможность поучаствовать в цифровизации как нашей компании, так и фармацевтического рынка в целом.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка и внедрение стратегии управления данными (Data Governance) в компании.</li> <li>Координация работы команды Data Stewards для обеспечения качества, доступности и безопасности данных.</li> <li>Управление жизненным циклом данных от их сбора до архивации.</li> <li>Разработка политик и процедур управления данными, включая стандарты именования, классификации и хранения.</li> <li>Обеспечение соответствия требованиям законодательства и внутренних стандартов компании в области защиты персональных данных.</li> <li>Взаимодействие с другими подразделениями компании для согласования требований к данным и обмена информацией.</li> <li>Мониторинг и анализ использования данных в компании, выявление потенциальных проблем и разработка предложений по их решению.</li> <li>Участие в проектах по интеграции данных из различных источников.</li> <li>Управление изменениями на этапе внедрения</li> <li>Коммуникация со смежными командами аналитики, разработки, сопровождения и внедрения других ИТ-систем;</li> </ul> <p><strong>Что для нас важно: </strong></p> <ul> <li>Высшее образование в области информационных технологий, статистики или смежных дисциплин.</li> <li>Опыт работы в области управления данными не менее 3 лет.</li> <li>Глубокие знания принципов и методов управления данными</li> <li>Понимание принципов проектирования хранилищ данных и моделей данных</li> <li>Опыт организации процессов работы с данными из различных источников, управления качеством данных;</li> <li>Навыки разработки и внедрения политик и процедур управления данными.</li> <li>Опыт работы с системами управления данными (DataHub, Open Metadata, AWS Glue Data Catalog, Collibra, etc), опыт работы с СУБД. Опыт работы с ETL и BI инструментами будет плюсом.</li> </ul> <ul> <li>Умение работать в команде, коммуникабельность и организаторские способности.</li> </ul> <p><strong>В нашей команде вас ждет:</strong></p> <ul> <li>Работа в международной инновационной компании с одним из лучших в индустрии портфелем препаратов, спасающих жизни пациентов.</li> <li>Культура открытости и взаимопомощи.</li> <li>Экспертная команда, возможность самостоятельного построения процессов и глубокого погружения в бизнес, высокий темп работы и возможность использовать современные технологии и инструменты.</li> <li>Возможности профессионального и карьерного роста, обучение и развитие</li> <li>Уровень компенсации обсуждается индивидуально в зависимости от опыта, участие в бонусной схеме в соответствии с корпоративной политикой.</li> <li>Участие в программе гибких льгот (возможность компенсировать затраты на спорт/медицину/путешествия и пр).</li> <li>Забота о сотрудниках: ДМС со стоматологией с первого рабочего дня, страхование жизни и путешественников; внутренняя программа поддержки здоровья и благополучия сотрудников(well-being); программы помощи сотрудникам в трудных жизненных ситуациях; программа корпоративных скидок PrimeZone (спорт, отдых, рестораны, обучение и не только).</li> <li>Широкий спектр для обучения и развития: возможность изучения языков, корпоративная платформа для обучения «AZ Grow», внешние тренинги и конференции, возможность участия в волонтерских программах и пр.</li> <li>5 дополнительных дней отпуска, 3 дня day-off.</li> <li>Современный, комфортный офис класса А в Москва-Сити.</li> <li>Гибкое время начала рабочего дня (диапазон с 8.00 до 10.00).</li> <li>Возможность гибридного графика.</li> </ul> <ul> <li>Гибридный график.</li> <li>Официальное трудоустройство согласно ТК РФ в компанию, входящую в реестр IT-компаний.</li> </ul>",[]
400,Data engineer,Lamoda Tech,Москва,От 1 года до 3 лет,Полный день,Полная занятость,Другое,null,"<p>Мы в поиске <strong>Инженера по работе с большими данными</strong> в направление <strong>дата инжиниринга</strong>, который будет участвовать в значимых для инфраструктуры данных в Lamoda проектах.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Разрабатывать и создавать лучшую на рынке платформу данных электронной коммерции нового поколения;</p> </li> <li> <p>Проектировать и разрабатывать ETL пайплайны на Airflow для Spark, Streaming, Hive, Trino etl;</p> </li> <li> <p>Оптимизировать действующие пайплайны и джобы на Spark - мониторить нагрузку на кластер и оптимальность затрачиваемых джобами ресурсов и если необходимо оптимизировать;</p> </li> <li> <p>Обеспечивать качество данных в разных системах, проектировать платформу Data Quality - предоставлять заказчикам данных платформу quality чеков, мониторинга и алертинга о текущем состоянии данных;</p> </li> <li> <p>Взаимодействовать с продуктовыми аналитиками, оптимизировать сложные SQL запросы, формировать культуру работы с данными;</p> </li> <li> <p>Развивать проект Action Storage - дополнительный слой данных над событиями кликстрима;</p> </li> <li> <p>Анализировать и внедрять инструменты инжиниринга данных.</p> </li> </ul> <p><strong>Мы ожидаем:</strong></p> <ul> <li> <p>Опыт работы со стеком Hadoop (YARN, HDFS, HBase, Hive);</p> </li> <li> <p>Опыт работы в Spark;</p> </li> <li> <p>Опыт работы с Python;</p> </li> <li> <p>Хорошее понимание СУБД, SQL;</p> </li> <li> <p>Страсть к инженерным наукам и информатике вокруг данных.</p> </li> </ul> <p><strong>Как плюс:</strong></p> <ul> <li> <p>Опыт работы с Docker;</p> </li> <li> <p>Опыт с Kafka.</p> </li> </ul>","['Hadoop', 'Hive', 'Python', 'Spark', 'Big Data', 'ETL', 'SQL']"
401,Data Engineer в Департамент данных и рекомендательных систем В2С,СБЕР,Москва,От 3 до 6 лет,Полный день,Полная занятость,Аналитик,null,"<p>Ищем разработчика в команду построения и поддержки витрин данных на базе множества внутренних и внешних источников из <em>авто</em>матизированных систем банка для аналитиков департамента розничного бизнеса. Если ты умеешь и любишь работать с данными, хочешь развиваться в этом</p> <p>Ищем разработчика в команду построения и поддержки витрин данных на базе множества внутренних и внешних источников из <em>авто</em>матизированных систем банка для аналитиков департамента розничного бизнеса. Если ты умеешь и любишь работать с данными, хочешь развиваться в этом направлении в команде <em>опыт</em>ных специалистов, мы обязательно с тобой познакомимся. А если ты еще и человек хороший, добро пожаловать в команду!</p> <p><strong>Обязанности</strong></p> <ul> <li>Проектирование и разработка аналитических витрин данных для целей отчетности на стеке технологий Scala/Python + Spark</li> <li>Мониторинг и оптимизация процессов сборки витрин</li> <li>Релизный процесс вывода витрин в ПРОМ</li> <li>Контроль качества загружаемых данных, разработка <em>авто</em>матизированных инструментов для оценки качества данных</li> <li>Предоставление экспертной поддержки внутренним потребителям по вопросам, связанным с использованием данных</li> </ul> <p><strong>Требования</strong></p> <ul> <li>Техническое образование</li> <li><em>Опыт</em> работы 1 год + в качестве Data Engineer / Data Analyst / ETL Developer</li> <li>Знание SQL (Postgres, Greenplum) на продвинутом уровне (аналитические функции, подзапросы, хранимые процедуры, оптимизация произ<em>водит</em>ельности)</li> <li>Python/Scala на уровне Middle</li> <li>Знание и <em>опыт</em> работы с экосистемой Hadoop (HDFS, Hive, Spark) и любой СУБД</li> <li>Знание основных понятий и концепций из области проектирования и построения DWH</li> <li>Умение <em>пользовать</em>ся терминалом Linux (знание основных команд и утилит).</li> <li>Знание Git</li> </ul> <p><strong>Условия</strong></p> <p>- Небольшая команда, в которой будет возможность сразу проявить себя. Финансовый результат зависит от достигнутых успехов</p> <p>- Работа с очень большим объемом интересных данных</p> <p>- Гибкое начало дня</p> <p>- ДМС</p> <p>- Фитнес зал в офисе</p> <p>- Бонусы и скидки от партнеров</p>",[]
402,Data Analyst / Аналитик данных,Фабрика Лояльности,Санкт-Петербург,От 3 до 6 лет,Удаленная работа,Полная занятость,"BI-аналитик, аналитик данных","{'from': 110000, 'to': 130000, 'currency': 'RUR', 'gross': False}","<p><strong>Кто мы?</strong></p> <p>Фабрика Лояльности — B2B SaaS маркетинговая платформа для ресторанных и ритейл сетей, состоящая из White Label мобильного приложения, сайта, CRM, а также экспертной маркетинговой поддержки Customer Success (кстати, мы были одними из первых, кто стал ее внедрять в мире).</p> <p>За 10 лет мы прошли путь от стартапа из маленькой питерской каморки до компании с офисом на Манхеттене. Papa Johns, Subway, Coffeeshop Company и еще 600 брендов в 30 странах мира решают свои бизнес-задачи и делают 20 миллионов своих гостей счастливее при помощи нашей платформы. Каждое утро это драйвит нас делать наш продукт и сервис, а вместе с ними и мир, немного лучше. За ближайшие 3 года мы хотим вырасти в 5 раз, и сейчас активно собираем команду, которая разделит с нами этот вызов!</p> <p><strong>Что нужно будет делать?</strong></p> <ul> <li> <p>Разбираться в аналитических инструментах на базе Excel.</p> </li> <li> <p>Готовить кастомную аналитику данных в Excel и Google Sheets. Основные направления работы: аналитика поведения пользователей мобильного приложения и веб-сайта, продуктовая аналитика, работа с метриками, анализ успешности маркетинговых активностей.</p> </li> <li> <p>Готовить выгрузки из SQL баз данных.</p> </li> <li> <p>Предобрабатывать данные (Python, Jupyter, Pandas).</p> </li> <li> <p>Создавать автоматические скрипты (Python).</p> </li> <li> <p>Участвовать в настройке маркетинговых инструментов (Google Analytics, Adjust).</p> </li> <li> <p>Модифицировать унаследованный (legacy) код автоматизированных решений.</p> </li> </ul> <p><strong>Что НЕ нужно будет делать?</strong></p> <ul> <li> <p>Обзор, составление и формализация требований по разработке ПО.</p> </li> <li> <p>Участие в тестировании ПО.</p> </li> <li> <p>Общение с непосредственными клиентами.</p> </li> <li> <p>Создание документации к ПО.</p> </li> <li> <p>Настраивать CRM.</p> </li> <li> <p>Описывать бизнес-процессы<strong>.</strong></p> </li> </ul> <p><strong>Что нам важно?</strong></p> <ul> <li> <p>Практический опыт работы аналитиком от 2 лет (только курсов недостаточно).</p> </li> <li> <p>Представление о работе BI инструментов (PowerBI, Tableau) и веб-аналитики (Google Analytics, Adjust) или огромное желание их изучить.</p> </li> <li> <p>Скиллы Python, Pandas, Git и желание бесконечно их прокачивать.</p> </li> <li> <p>Уверенные скиллы продвинутого использования инструментов Excel / Google Sheets.</p> </li> <li> <p>Готовность быстро разобраться в незнакомом инструменте и процессе.</p> </li> <li> <p>Желание разбираться в тонкостях маркетинговых стратегий клиентов, предлагать лучшие решения маркетинговых задач и анализировать их успешность.</p> </li> </ul> <p><strong>Что будет преимуществом?</strong></p> <ul> <li> <p>Опыт работы с маркетинговым задачами и умение переводить результаты проведенного анализа на “человеческий” язык с языка цифр.</p> </li> <li> <p>Бэкграунд в продуктовой и бизнес аналитике в IT компании.</p> </li> <li> <p>Английский язык на уровне от B1.</p> </li> </ul> <p><strong>Что мы предлагаем?</strong></p> <ul> <li> <p>Работа с продуктом на global рынке, высокие требования, сложные задачи, высокий темп работы.</p> </li> <li> <p>100% удаленка без каких-либо условий с первого дня.</p> </li> <li> <p>Возможность оформления и получения з/п из любой точки мира, тебе даже не обязательно быть налоговым резидентом РФ.</p> </li> <li> <p>Безлимитное количество дней отпуска, “отгулов” и больничных. Без справок, заявлений, со 100% сохранением з/п.</p> </li> <li> <p>Гибкие часы работы, можешь начинать в любое время и отлучаться по делам в течение дня.</p> </li> <li> <p>Реальная возможность роста как вертикально, так и горизонтально.</p> </li> <li> <p>Опционы. Мы верим в будущий успех нашей компании и готовы разделить его с тобой.</p> </li> <li> <p>Полная прозрачность во всех процессах компании и 0 бюрократии.</p> </li> </ul> <p> </p>","['Python', 'SQL', 'Google Analytics', 'pandas']"
403,Data engineer,Т1,Москва,От 3 до 6 лет,Полный день,Полная занятость,"Программист, разработчик",null,"<strong>Обязанности:</strong> <ul> <li>Разработка витрин данных в DWH Greenplum</li> <li>Разработка витрин данных Oracle</li> <li>Взаимодействие с аналитиками и командами развития платформ хранения и обработки данных</li> <li>Разработка регламентных ETL потоков обработки данных в DWH – Airflow\Greenplum</li> <li>Поставки кода в соответствии с процессом CI\CD</li> <li>Участие в разработке фреймворка (предложения и рекомендации по развитию функциональности фреймворка)</li> <li>Участие в проведении тестирований</li> <li>Формирование сопроводительной документации для передачи потоков на линию сопровождения</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы в IT-сфере от 3-х лет;</li> <li>Высшее экономическое или техническое; специальность/направление образования: информационные технологии, автоматика, прикладная математика, программирование, а также другие технические специальности.</li> <li>Опыт разработки ETL-потоков в промышленных хранилищах данных DWH, от 1 года.</li> <li>Хорошее знание SQL</li> <li>Понимание принципов работы MPP СУБД</li> <li>Опыт работы с GIT, Docker</li> <li>Опыт работы с Airflow</li> <li>Навыки разработки проектной и технической документации.</li> <li>Проактивная позиция при решении поставленных задач, целеустремленность, коммуникабельность, вежливость.</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт работы в Банковской/Финансовый сфере Знание банковского бух.учета и банковских продуктов.</li> <li>Понимание бизнес-процессов коммерческого банка, ограничений и регулирования его деятельности.</li> <li>Опыт работы по Agile (Scrum, Kanban)</li> <li>Опыт работы с Greenplum</li> <li>Знание Python</li> </ul> <p> </p>","['ETL', 'Greenplum', 'DWH']"
